	a	b
11	Giltsu Choi	2
159	Asaph Aharoni	2
90	Tesfaye Mengiste	2
78	Hervé Vaucheret	2
25	Yijun Qi	2
119	Xiaorong Mo	1
120	Liming Xiong	1
106	Pedro L. Rodriguez	1
107	Naomi Ori	1
108	Christian Parisod	1
109	Yingxiang Wang	1
110	Eva Benková	1
111	Hongtao Liu	1
112	Volker P. Brendel	1
113	Olivier Leprince	1
114	Agnieszka Mostowska	1
115	Andreas Wachter	1
105	Christian S. Hardtke	1
116	Friedrich Kragler	1
117	John B. Ohlrogge	1
121	Hannes Kollist	1
118	Sergei A. Filichkin	1
0	Martin B. Dickman	1
102	Dario Leister	1
104	Ken Shirasu	1
94	John Mundy	1
86	Tobias G. Köllner	1
87	Federico Sanchez	1
88	Julian M. Hibberd	1
89	Olivier Voinnet	1
91	Angelika Mustroph	1
92	Alok Krishna Sinha	1
93	Frank G. Harmon	1
95	Anthony A. Millar	1
103	Ioannis Stergiopoulos	1
96	Siobhan M. Brady	1
97	Hsou-min Li	1
98	Erich Grotewold	1
99	Christopher A. Makaroff	1
100	Toshiharu Shikanai	1
101	James L. Weller	1
123	Lucia Colombo	1
122	James G. Umen	1
125	Thomas Schmülling	1
124	Jörg Nickelsen	1
153	Qing Li	1
146	Shuqun Zhang	1
147	Xin-Jian He	1
148	Dean DellaPenna	1
149	Brian D. Gregory	1
150	Na-Sheng Lin	1
151	Joe Chappell	1
152	Ben Field	1
154	Jorge Prometeo Muschietti	1
144	Ayumi Tanaka	1
155	Fang Chang	1
156	Enamul Huq	1
157	Erik Nielsen	1
158	Franziska Turck	1
160	Maria Hrmova	1
161	Li-Jia Qu	1
162	Teresa B. Fitzpatrick	1
145	Thomas P. Brutnell	1
143	Norihito Nakamichi	1
84	Utpal Nath	1
133	Jin-Long Qiu	1
126	Daigo Takemoto	1
127	Michael Purugganan	1
128	Peter Brodersen	1
129	Jean Molinier	1
130	Kazuko Yamaguchi-Shinozaki	1
131	Francesca M. Quattrocchio	1
132	Zhanguo Xin	1
134	Yingyin Yao	1
142	C. Robin Buell	1
135	R. Scott Poethig	1
136	Yong Wang	1
137	Christelle Breton	1
138	Hiroyoshi Takano	1
139	Juan C. del Pozo	1
140	Jörg Degenhardt	1
141	Jeanne M. Harris	1
85	Chengwei Yang	1
82	Jinxing Tu	1
83	Richard J. Morris	1
1	R. Keith Slotkin	1
23	Toru Fujiwara	1
24	Andrew C. Cuming	1
26	Zhukuan Cheng	1
27	Claus Schwechheimer	1
28	Jane Glazebrook	1
29	Sheng-Hong Li	1
30	Ho‐Ming Chen	1
31	Laurent Zimmerli	1
32	Lieven De Veylder	1
33	Yan Guo	1
34	Jay J. Thelen	1
35	Lars Hennig	1
36	Shunyuan Xiao	1
37	Enrico Coen	1
38	Stefan Hörtensteiner	1
39	Koh Iba	1
40	Maria E. Gallego	1
22	Andrew D. Hanson	1
21	Ravishankar Palanivelu	1
20	Chuanqing Sun	1
9	Sébastien Baud	1
2	Roman Ulm	1
3	Alison M. Smith	1
4	C. Neal Stewart Jr.	1
5	Julian I. Schroeder	1
6	Marja C.P. Timmermans	1
7	Michel Goldschmidt-Clermont	1
8	Sabine Rosahl	1
10	Crisanto Gutierrez	1
19	Oren Ostersetzer-Biran	1
12	Ralph Bock	1
13	Claudia Köhler	1
14	Markus Geisler	1
15	Mark A. Mikel	1
16	Dorothy E. Shippen	1
17	Biao Ding	1
18	Jungmook Kim	1
41	Chengcai An	1
42	Wanqi Liang	1
43	Keiko Yoshioka	1
72	Lizhong Xiong	1
65	Volker Lipka	1
66	Frank Van Breusegem	1
67	Diana Santelia	1
68	Yunkun Wu	1
69	Elison B. Blancaflor	1
70	Stephan Greiner	1
71	Riet De Smet	1
73	Kris Gevaert	1
63	Klaas Vandepoele	1
74	Takayuki Kohchi	1
75	Sodmergen	1
76	Inhwan Hwang	1
77	Julio Salinas	1
79	Jianmin Wan	1
80	Yunhai Li	1
81	Richard D. Vierstra	1
64	Ottoline Leyser	1
62	Yuelin Zhang	1
44	José R. Dinneny	1
52	Jie Luo	1
45	William Gordon-Kamm	1
46	Peter N. Dodds	1
47	Valérie Gaudin	1
48	Ko Shimamoto	1
49	Jürgen Zeier	1
50	Philip M. Mullineaux	1
51	Yong-Fei Wang	1
53	Susanne von Caemmerer	1
61	Chengcai Chu	1
54	Dirk Inzé	1
55	Angela Falciatore	1
56	Karl J. Oparka	1
57	Enrico Magnani	1
58	Martin C. Jonikas	1
59	Paula Duque	1
60	Hiroo Fukuda	1
163	Takashi Ueda	1
